# Energy(meV) DOS(state/meV)
-5.406291398314151309e+01 3.276223246575236922e-15
-5.195270609517113058e+01 2.626533596136509389e-14
-4.984249820720075519e+01 1.928747814557937148e-13
-4.773229031923037269e+01 1.297540002980573421e-12
-4.562208243126000440e+01 7.998294643422170204e-12
-4.351187454328962190e+01 4.518492571351234684e-11
-4.140166665531924650e+01 2.339959010079517377e-10
-3.929145876734886400e+01 1.111098085013254400e-09
-3.718125087937848861e+01 4.838941596842998123e-09
-3.507104299140811321e+01 1.933488421354508938e-08
-3.296083510343773781e+01 7.090589653235956518e-08
-3.085062721546735887e+01 2.387528210949434000e-07
-2.874041932749697636e+01 7.384794906097361729e-07
-2.663021143952660097e+01 2.099313465256007230e-06
-2.452000355155622202e+01 5.488109038073113327e-06
-2.240979566358585018e+01 1.320300933995204359e-05
-2.029958777561546768e+01 2.925351119497276154e-05
-1.818937988764508873e+01 5.975256764119958141e-05
-1.607917199967471333e+01 1.126471484463263651e-04
-1.396896411170433439e+01 1.962952010972504819e-04
-1.185875622373396077e+01 3.167738022724446694e-04
-9.748548335763580042e+00 4.745990559342194151e-04
-7.638340447793205534e+00 6.623831717769341522e-04
-5.528132559822824810e+00 8.651593683670626578e-04
-3.417924671852444529e+00 1.064135391259198992e-03
-1.307716783882070910e+00 1.242703936938619304e-03
8.024911040883098146e-01 1.391758678827041337e-03
2.912698992058683434e+00 1.511140238315828235e-03
5.022906880029063714e+00 1.605988245089936227e-03
7.133114767999437333e+00 1.680027224978102073e-03
9.243322655969810953e+00 1.730285477297338181e-03
1.135353054394019168e+01 1.747450393625835270e-03
1.346373843191057240e+01 1.722659886058788272e-03
1.557394631988095313e+01 1.656977643361323867e-03
1.768415420785133563e+01 1.567293976359946869e-03
1.979436209582170036e+01 1.484006162116059679e-03
2.190456998379208287e+01 1.440693593214128912e-03
2.401477787176246181e+01 1.460802978616683977e-03
2.612498575973284076e+01 1.547943094193914579e-03
2.823519364770320905e+01 1.684136329581564654e-03
3.034540153567359155e+01 1.836246641469077437e-03
3.245560942364397050e+01 1.967367937602338031e-03
3.456581731161435300e+01 2.048551783214814636e-03
3.667602519958472840e+01 2.066779904045312494e-03
3.878623308755509669e+01 2.026879094250291693e-03
4.089644097552547919e+01 1.947472642706197295e-03
4.300664886349586169e+01 1.853304624739756301e-03
4.511685675146623709e+01 1.767441792075107564e-03
4.722706463943661959e+01 1.706340745286568338e-03
4.933727252740698788e+01 1.678839950800914459e-03
5.144748041537737038e+01 1.687947077332129170e-03
5.355768830334774577e+01 1.733150553151390503e-03
5.566789619131812827e+01 1.811461667616869661e-03
5.777810407928849656e+01 1.916934516976797221e-03
5.988831196725887906e+01 2.039779548170781581e-03
6.199851985522925446e+01 2.166437501104843608e-03
6.410872774319965117e+01 2.281160193203745929e-03
6.621893563117001236e+01 2.368615055648318115e-03
6.832914351914037354e+01 2.416627315645304350e-03
7.043935140711077736e+01 2.418506529069492598e-03
7.254955929508113854e+01 2.374894539677432307e-03
7.465976718305152815e+01 2.295099426565855652e-03
7.676997507102190355e+01 2.197398089725567834e-03
7.888018295899229315e+01 2.107365065539033768e-03
8.099039084696266855e+01 2.053545520624013021e-03
8.310059873493302973e+01 2.060816939484860170e-03
8.521080662290341934e+01 2.143021320642073384e-03
8.732101451087379473e+01 2.297186878867864008e-03
8.943122239884418434e+01 2.501557964895389889e-03
9.154143028681454552e+01 2.718826635994579625e-03
9.365163817478492092e+01 2.904646937736893655e-03
9.576184606275531053e+01 3.019841272374334130e-03
9.787205395072568592e+01 3.042892562371979446e-03
9.998226183869607553e+01 2.978061458475598795e-03
1.020924697266664367e+02 2.854936249722944339e-03
1.042026776146368121e+02 2.718186777047609023e-03
1.063128855026072017e+02 2.610980813705984262e-03
1.084230933905775629e+02 2.559371803565374786e-03
1.105333012785479383e+02 2.565112543416370097e-03
1.126435091665183279e+02 2.610033658265939038e-03
1.147537170544887033e+02 2.668866128721611702e-03
1.168639249424590929e+02 2.723318412290945921e-03
1.189741328304294541e+02 2.770738733204046542e-03
1.210843407183998295e+02 2.824595733669560925e-03
1.231945486063702191e+02 2.908007647536935743e-03
1.253047564943405803e+02 3.043465438710769074e-03
1.274149643823109841e+02 3.242073884480807869e-03
1.295251722702813595e+02 3.495451558342032011e-03
1.316353801582517065e+02 3.773228873581744702e-03
1.337455880462221103e+02 4.028057841225653191e-03
1.358557959341924857e+02 4.207713266817015609e-03
1.379660038221628611e+02 4.270947550410810443e-03
1.400762117101332365e+02 4.201658577527277345e-03
1.421864195981036119e+02 4.015789928418223020e-03
1.442966274860739873e+02 3.757646870011057023e-03
1.464068353740443627e+02 3.486461916828305710e-03
1.485170432620147665e+02 3.258398338780788168e-03
1.506272511499851134e+02 3.111404686688177147e-03
1.527374590379554888e+02 3.058898489457207836e-03
1.548476669259258927e+02 3.093737936919839938e-03
1.569578748138962396e+02 3.198853282349982136e-03
1.590680827018666150e+02 3.358107429089436224e-03
1.611782905898370188e+02 3.561837133707155580e-03
1.632884984778073942e+02 3.805302056865556958e-03
1.653987063657777696e+02 4.082600837991402429e-03
1.675089142537481450e+02 4.381043684033553154e-03
1.696191221417185204e+02 4.680201573903005133e-03
1.717293300296888958e+02 4.956347045614968236e-03
1.738395379176592712e+02 5.188911083374379493e-03
1.759497458056296750e+02 5.363874501981653539e-03
1.780599536936000220e+02 5.471545179471510971e-03
1.801701615815703974e+02 5.501549996271499002e-03
1.822803694695408012e+02 5.441545471567082147e-03
1.843905773575111482e+02 5.284066317565836932e-03
1.865007852454815520e+02 5.038896890218681063e-03
1.886109931334519274e+02 4.742180927695876201e-03
